,importance
start_dist_to_goal_a0,-0.039100602135772086
start_angle_to_goal_a2,-0.0034168843435475093
type_id_a1,-0.0027727939333359168
caley_zone_a2,-0.002075951814822995
type_id_a0,-0.0018291924858162172
caley_zone_a1,-0.0016188490452784257
caley_zone_a0,-0.0007206540504228496
type_id_a2,-0.0005957727199521578
type_id_a2,-0.00046752941596408815
caley_zone_a1,-0.0004365855325182163
type_id_a1,-0.0003706332458851567
type_id_a1,-0.00023566337136154346
type_id_a1,-0.00019976431238800154
type_id_a1,-0.0001854911166093382
bodypart_id_a1,-0.00011470802966864342
bodypart_id_a2,-6.146469519443073e-05
type_id_a2,4.396730794759899e-05
angle_zone_a1,0.00010487645248421427
caley_zone_a2,0.00013325549750235662
type_id_a2,0.00016217183503140707
angle_zone_a2,0.000283445950063564
type_id_a1,0.00040667575629746764
angle_zone_a1,0.0009289903331750712
bodypart_id_a0,0.0012193318513716422
dy_a1,0.0026176379212435276
angle_zone_a0,0.004732991630751222
start_angle_to_goal_a1,0.00562763366192285
speedy_a02,0.0077005854792044845
shot_angle_a1,0.015045692747449673
shot_angle_a0,0.04885762548083832
