,importance
type_id_a0,-1.007458736531219
bodypart_id_a0,-0.6951887156183625
result_id_a1,-0.6436490699439343
start_dist_to_goal_a0,-0.49929699728261495
result_id_a1,-0.3638096665872842
caley_zone_a0,-0.3286822617579505
bodypart_id_a0,-0.3122700209128559
caley_zone_a1,-0.2519298034627228
caley_zone_a2,-0.2466447566358141
caley_zone_a1,-0.24260032314453622
type_id_a2,-0.2125066200926685
angle_zone_a0,-0.20980108415755128
angle_zone_a1,-0.20204842319305408
caley_zone_a2,-0.18766910688810917
start_angle_to_goal_a2,-0.15897213756673376
bodypart_id_a1,-0.1581306495127547
bodypart_id_a2,-0.15285223354331118
time_delta_2,-0.14171893129824423
type_id_a1,-0.14009921100106776
angle_zone_a2,-0.13593169303270067
angle_zone_a2,-0.1350136622401728
caley_zone_a0,-0.13198960651728373
caley_zone_a1,-0.12702451654683944
caley_zone_a2,-0.10731321422487348
type_id_a2,-0.1047518675722194
caley_zone_a0,-0.09918430377284586
type_id_a2,-0.0775772882988215
type_id_a2,-0.07732869953755983
type_id_a1,-0.07481494705642767
start_angle_to_goal_a1,-0.07121623858074075
type_id_a2,-0.06245920854019132
speedx_a02,-0.05602094422271548
type_id_a1,-0.05499196158435891
type_id_a2,-0.051911052715052704
angle_zone_a1,-0.050512785167398995
angle_zone_a1,-0.050168960623935
type_id_a1,-0.04379416715554007
type_id_a1,-0.04360656655830436
angle_zone_a1,-0.0429802209110162
angle_zone_a0,-0.04069922869667118
type_id_a2,-0.035072443772271276
type_id_a2,-0.031195306685553766
angle_zone_a2,-0.027988447846325922
shot_angle_a2,-0.027158715905031834
type_id_a2,-0.02664566887196739
type_id_a1,-0.024981887409665837
angle_zone_a0,-0.020889704054652587
type_id_a1,-0.01911493654465682
dy_a01,-0.01803411611164848
type_id_a2,-0.01760922428374102
caley_zone_a2,-0.015265226804689041
angle_zone_a0,-0.013914166388480238
caley_zone_a0,-0.011664601799340315
speed_a01,-0.011660430541525515
speedx_a01,-0.006945858718152342
result_id_a2,-0.0037755639110160118
movement_a1,-0.000875953481405857
angle_zone_a2,0.002258088465330506
type_id_a2,0.003305789040201172
type_id_a1,0.004254513910977954
speedy_a02,0.007153893374320004
type_id_a1,0.01003314210187389
caley_zone_a0,0.018085356609162783
caley_zone_a0,0.018337184899730876
speedy_a01,0.02012715783742651
angle_zone_a0,0.020864147901315605
type_id_a1,0.02092999224563691
type_id_a2,0.0240080583556272
shot_angle_a1,0.02846181386746574
caley_zone_a2,0.04414280446319122
end_x_a1,0.04510189692206395
type_id_a2,0.05068944291976582
dy_a1,0.055167379905565875
angle_zone_a2,0.07067176660554927
angle_zone_a1,0.08285744133269063
angle_zone_a0,0.08459091936633346
speed_a02,0.0866069751120838
time_delta_1,0.11889423134992147
type_id_a1,0.15826279423424405
shot_angle_a0,0.5070763625416655
