,importance
type_id_a1,-4.1161729716269955
type_id_a0,-1.841611478304396
type_id_a1,-1.467612504431704
bodypart_id_a0,-1.2252096679659117
start_dist_to_goal_a0,-1.0012871979837548
type_id_a1,-0.7543020160131447
bodypart_id_a0,-0.6164018103386449
type_id_a2,-0.4931788226479977
type_id_a2,-0.4691166705927621
angle_zone_a1,-0.4128855345998573
bodypart_id_a1,-0.4061508550395925
caley_zone_a0,-0.39481934651361345
angle_zone_a2,-0.382317027099888
type_id_a1,-0.36411936297111036
bodypart_id_a2,-0.3479808048114824
caley_zone_a1,-0.30231792889953574
caley_zone_a1,-0.2919813736099046
caley_zone_a2,-0.26805248893362943
type_id_a2,-0.2596564458043404
type_id_a1,-0.18633743260143634
caley_zone_a2,-0.16803772095125502
start_angle_to_goal_a2,-0.1475073460112718
start_angle_to_goal_a1,-0.05232652860246581
speedx_a01,-0.0237151870078877
shot_angle_a1,0.04308777648891803
angle_zone_a2,0.05913806316716755
speedy_a02,0.07016222397477095
dy_a1,0.0705625445071796
angle_zone_a0,0.10872431134428726
type_id_a1,0.17126744542621528
type_id_a1,0.26583851530519315
angle_zone_a1,0.27774496327267373
shot_angle_a0,0.3933241633265063
type_id_a1,0.4739277185980604
type_id_a2,0.714461195261481
caley_zone_a0,0.8020770291316773
caley_zone_a0,1.0916788598237244
caley_zone_a0,1.1597580041916187
type_id_a2,1.524460995044204
angle_zone_a0,3.2384328076484326
